chapter,title,image,copy,choice_1,goto_1,choice_2,goto_2,choice_3,goto_3,choice_4,goto_4,choice_5,goto_5,choice_6,goto_6
1,Rozdzial 1,,"- Cholera tędy też nie przejedziemy - Gawron odwrócił do was swoją bladą twarz, godną kogoś kto bez sądu powinien zawisnąć.
Jechaliście do tego promu by przebyć rzekę. Została po nim tylko ucięta lina smętnie zwisająca z pokrytego śniegiem kołka. Nie było wiatru. Cisza. Dookoła puszczały śniegi a rzeką płynęła kra. 

Jano Drugi z twoich towarzyszy, wielkolud który w waszym oddziale był za felczera wzruszył ramionami.
-  Z tym promem... nie spodziewałem się że się uda. Wokół same spalone wsie, zniszczone młyny i nie orane od lat pola. Nie ma co zwlekać, ruszajmy.",Przyglądam się towarzyszom. ,3,Rozglądam się po okolicy.,4,,,,,,,,
,,,"Gawron - blada poznaczona bliznami twarz okolona brudnymi czarnymi kędziorami wystającymi spod kaptura, chudzielec w poszarpanej, znoszonej przeszywanicy, bandyta bez czci i wiary a przy bliższym poznaniu tylko gorzej. Łypał teraz dookoła powtarzając litanię przekleństw. Pierwszy odwrócił wierzchowca i ruszył droga w zdłuż rzeki. 
Jano uśmiechnął się tego potężnego spokojnego mężczyzny nic nie było w stanie wytrącić z równowagi. Ruszył za Gawronem a ty za nimi.",Popędzam konia.,5,,,,,,,,,,
,,,Okolica skąpana w roztapiającym się śniegu. Po lewej masz szeroka na jakieś dwieście metrów spokojną rzekę którą spływa kra.  Po prawej droga wijąca się wśród ośnieżonych krzaków i wyschniętych traw. Dalej zalesiona skarpa z koronką drzew bez liści. Przyglądasz się mocowaniu promu - lina jest równo przycięta - jak wszystko co mijakiście przez ostatnie tygodnie było i to zniszczone ręką człowieka. Twoi towarzysze ruszyli.,Popędzam konia.,5,,,,,,,,,,
,,,"Jedziecie znów jakiś czas w milczeniu, konie człapią w roztapiającym się śniegu.
Mijacie naniesioną tu ongiś przez wodę stertę drzew i krzaki. Gawron ostrzegawczo strzela palcami. ",Rozglądasz się.,6,Patrzysz przed siebie. ,7,,,,,,,,
,,,"Okolica wydaje się cicha. Za wami nikt nie jedzie. Może i nie jesteście na wojnie ale oczy dookoła głowy przydają się zawsze. Gawron skinął lekko głową pochwalając tym samym twoją ostrożność, pokazuje żeby jechać dalej.",Popędzam konia.,7,,,,,,,,,,
,,,"Koło stu metrów przed wami na drodze widać przechylony wóz. Dwie postacie kręcą się przy nim. Gawron tymczasem ostrożnie rozgląda się po okolicy. Jano pokazuje żeby jechać dalej.
",Popędzam konia.,8,,,,,,,,,,
,,,"Wóz straci koło i jest przechylony ale oś nie wydaje się pęknięta. Dwie mniszki w szarych habitach widząc was chowają się za unieruchomiony pojazd.   

Kiedy podjeżdżam bliżej Jano woła:
- Hej! Może pomóc?
Jedna z kobiet wysunęła się z nad wozu. W ręku trzyma rusznicę celując w waszą stronę. Druga młodsza trzyma jakąś siekierę także oddziela ją od Was wóz.
-Nie trzeba nam waszej pomocy! - jedzcie swoją drogą i zostawcie nas w spokoju. Głos jej drży ale rusznica oparta o burtę wozu wygląda poważnie.
",Podjeżdżasz do wozu.,9,Zatrzymujesz konia. ,10,,,,,,,,
,,,"Strzał i chmura dymu, krzyk, uderzenie i skręcający zatykający ból, ostatnią rzeczą którą rejestrujesz jest uderzenie o śnieg, potem ból zamienia się w ciemność. Umierasz. ",,,,,,,,,,,,
,,,"Cała trójka zatrzymała się. Gawron podniósł ręce z dala od ciała. Jano odwrócił konia bokiem. Zrobiło się cicho.   

- Nie mamy złych zamiarów, możemy Wam pomóc.
- Poradzimy sobie, jedźcie z Bogiem - Kobieta głos już miała spokojniejszy nadal celowała do niego z rusznicy. 

-Jedźmy dalej nie chcą to nie - Gawron Zawrócił koniem tak by przejechać w większej odległości. Jano skinął kobiecie na pożegnanie i ruszył błotnistą drogą za nim.  

Ruszasz za towarzyszami. Jano jeszcze ogląda się za siebie. 
-Nie ma co się dziwić wyglądacie na obwiesi - mruknął Gawron.  

",Zbywasz tą uwagę milczeniem.,12,-Sam wyglądasz jak obwieś!,11,,,,,,,,
,,,"-Sam wyglądasz jak obwieś! 

-Gawron ma racje nie wyglądamy najlepiej - Jano śmieje się głośno.  - My się jeszcze domyjemy ale jego gębą będą dzieci straszyć nawet jakby miesiąc w balii siedział. Pierwszy z towarzyszy nie odwracając się pokazał palec - co jeszcze bardziej raduje Jano. 
",Dalej,12,,,,,,,,,,
,,,"Konie człapią dalej w rozmokniętym błocie i śniegu. Słychać skrzek mew latających nad rzeką. Na drodze przed wami daleko może kilometr z rzadkiego bukowego lasu wychodzą ludzie. Idą pieszo drogą która podąża ku wam. Z daleka już widać że to zbrojni. 
Gawron odwraca się do was:
-Broń w pogotowiu nie wiadomo kogo czarci nadali. 

Jesteście coraz bliżej. Zbrojnych jest sześciu nie wyglądają na regularny oddział. Zarośnięci i brudni chudzielce wyglądający jak bezpańskie kundle. Możliwe że tak samo niebezpieczni. Za pasami brudne pordzewiałe kordy bez pochew w rękach dwóch dzierży licho wyglądające włócznie. Trzech ma hełmy. 


",Ktoście? - pytasz.,13,Mijacie ich w ciszy.,15,,,,,,,,
,,,"Maruderzy zatrzymują się na drodze - patrzą wrogo. Z grupy wysuwa się jeden... ten w przekrzywionym hełmie wziął się pod boki i mierzy Cię spojrzeniem: 

 -My ze straży miejskiej od Czarnego z Wurzen. Jesli pojedziecie dalej tą droga to tam traficie. 
- A wy kto? 
", Żołnierze wracamy z wojny. Jest w tym całym Wurzen jakaś karczma?,14,-Nie twoja sprawa pachołku! Ruszasz dalej.,15,,,,,,,,
,,,"Wszystko w Wurzen i okolicy należy do Czarnego - u niego dostaniecie spyrze, chlanie i kurwy - maruder uśmiechną się nieprzyjemnie pokazująć dziury w uzębiebniu
-Tonie ma co gadać na zimnie ruszajmy - odzywa się Gawron. Ruszył konia a wy za nimi. 
",Dalej,16,,,,,,,,,,
,,,"Patrzycie się na siebie z wrogością mijacie się z rękami na rękojeściach broni. Zbiry patrzą pożądliwie na wasze konie ale żaden nie ma dość odwagi żeby zaczepić trzech żołnierzy. 

",Dalej,16,,,,,,,,,,
,,,"Kiedy ich minęliście znów zbili się w bezwładną grupę.

-Co za chołota - Gawron spluwa w ślad za nimi. 

-Gorszych ze świecą szukać - dopowiada Jano. Jedzie chwilę cały czas patrząc na oddział który minęliście. 
NIe powinniśmy tych siostrzyczek zostawiać samych na pustej drodze. 
",Same chciały jedzmy dalej.,,Masz racje zawrócmy. ,18,,,,,,,,
,,,"Droga skęca lekko ku skarpie po prawej rzeka cały czas jest po lewej ale oddalacie się od niej . Powoli dojerzdzacie do lasu. Drzewa bez liści sprawiają smutne wrażenie panuje cisza słychać tylko wolne monotonne człapanie koni. W oddali gdzieś za Wami słyszysz odgłos strzału. Spłoszone ptaki zrywają się z krakaniem i zaczynają krążyć nad okolicą. Wszyscy trzej odwracacie głowy. - Co nas to obchodzi - odzywa się Gawron -Nie nasza sprawa, jedzmy do karczmy jestem już zmęczony.
",Racja do wurdzen.,,Zawracasz!,18,,,,,,,,
,,,"Pędzisz galopem twoi towarzysze wyjeli broń i pędzą za tobą, Gawron klnie siarczyście.
Kiedy docieracie do wozu widzicie pierwszą z kobiet leżąca bez przytomniości a drugą szarpaną przez jednego z oprychów. Reszta otacza wóz.

",Wjerzdzasz w zbrojnych.,19,Puść ją! ,20,,,,,,,,
